0,FED,FEDERATION,United Federation of Planets,SOL,Peaceful,Compassion,Ethical,Idealistic,federation,FEDERATION,TRUE,TRUE,,,Xenophobia,,,,,
1,ROM,ROMULAN,Romulan Star Empire,ROMULUS,Aggressive,Xenophobia,Ruthless,Materialistic,romulans,ROMULANS,TRUE,TRUE,,,Intolerant,,,,,
2,KLING,KLINGON,Klingon Empire,KRONOS,Warlike,Indifferent,Honorable,Transactional,klingon,KLINGON,TRUE,TRUE,,,Indifferent,,,,,
3,CARD,CARDASSIAN,Cardassian Union,CARDASSIA,Aggressive,Intolerant,Ruthless,Greedy,cardassian,CARDASSIAN,TRUE,TRUE,,,Sympathetic,,,,,
4,DOM,DOMINION,Dominion,OMARIAN_NEBULA,Aggressive,Xenophobia,Callous,Transactional,dominion,DOMINION,TRUE,TRUE,,,Compassion,,,,,
5,BORG,BORG,Borg Collective,UNICOMPLEX,Warlike,Indifferent,Callous,Greedy,borg,BORG,TRUE,TRUE,,,,,,,,
6,TERRAN,TERRAN,TERRAN EMPIRE,TERRA,Warlike,Xenophobia,Ruthless,Greedy,terrans,TERRANEMPIRE,TRUE,TRUE,,,Ruthless,,,,,
7,ACAMARIANS,ACAMARIANS,ACAMARIANS,ACAMA,Aggressive,Intolerant,Ruthless,Transactional,acamarians,ACAMARIANS,TRUE,FALSE,,,Callous,,,,,
8,AKAALI,AKAALI,AKAALI,AKAALI,Peaceful,Indifferent,Regulated,Egalitarian,akaali,AKAALI,FALSE,FALSE,,,Regulated,,,,,
9,AKRITIRIANS,AKRITIRIANS,AKRITIRIANS,AKRITIRI,Aggressive,Intolerant,Ruthless,Materialistic,akritirians,AKRITIRIANS,TRUE,FALSE,,,Ethical,,,,,
10,ALDEANS,ALDEANS,ALDEANS,ALDEA,Peaceful,Intolerant,Honorable,Idealistic,aldeans,ALDEANS,FALSE,FALSE,,,Honorable,,,,,
11,ALGOLIANS,ALGOLIANS,ALGOLIANS,ALGOL,Peaceful,Sympathetic,Ethical,Egalitarian,algolians,ALGOLIANS,FALSE,FALSE,,,Greedy,,,Religious,,Scientific
12,ALSAURIANS,ALSAURIANS,ALSAURIANS,ALSAURI,Peaceful,Intolerant,Ethical,Egalitarian,alsaurians,ALSAURIANS,TRUE,FALSE,,,Materialistic,,,Fanatic,,
13,ANDORIANS,ANDORIANS,ANDORIANS,ANDORIA,Warlike,Sympathetic,Honorable,Transactional,andorians,ANDORIANS,TRUE,FALSE,,,Transactional,,,,,
14,ANGOSIANS,ANGOSIANS,ANGOSIANS,ANGOSIA,Aggressive,Sympathetic,Regulated,Egalitarian,angosians,ANGOSIANS,FALSE,FALSE,,,Egalitarian,,,,,
15,ANKARI,ANKARI,ANKARI,ANKARI,Pacifist,Compassion,Regulated,Egalitarian,ankari,ANKARI,TRUE,FALSE,,,Idealistic,,,,,
16,ANTEDEANS,ANTEDEANS,ANTEDEANS,ANTEDEA,Neutral,Xenophobia,Callous,Greedy,antedeans,ANTEDEANS,FALSE,FALSE,,,Warlike,,,,,
17,ANTICANS,ANTICANS,ANTICANS,ANTICA,Aggressive,Intolerant,Callous,Transactional,anticans,ANTICANS,FALSE,FALSE,,,Aggressive,,,,,
18,ARBAZAN,ARBAZAN,ARBAZAN,ARBAZ,Peaceful,Intolerant,Regulated,Transactional,arbazan,ARBAZAN,TRUE,FALSE,,,Neutral,,,,,
19,ARDANANS,ARDANANS,ARDANANS,ARDANA,Neutral,Intolerant,Callous,Materialistic,ardanans,ARDANANS,FALSE,FALSE,,,Peaceful,,,,,
20,ARGRATHI,ARGRATHI,ARGRATHI,ARGRATHI,Peaceful,Intolerant,Ruthless,Transactional,argrathi,ARGRATHI,FALSE,FALSE,,,Pacifist,,,,,
21,ARKARIANS,ARKARIANS,ARKARIANS,ARKARI,Neutral,Intolerant,Honorable,Materialistic,arkarians,ARKARIANS,FALSE,FALSE,,,,,,,,
22,ATREANS,ATREANS,ATREANS,ATREA,Pacifist,Compassion,Ethical,Egalitarian,atreans,ATREANS,TRUE,FALSE,,,,,,,,
23,AXANAR,AXANAR,AXANAR,AXANAR,Neutral,Indifferent,Regulated,Transactional,axanar,AXANAR,TRUE,FALSE,,,,,,,,
24,BAJORANS,BAJORANS,BAJORANS,BAJOR,Aggressive,Intolerant,Honorable,Idealistic,bajorans,BAJORANS,TRUE,FALSE,,,,,,,,
25,BAKU,BAKU,BAKU,BAKU,Pacifist,Sympathetic,Ethical,Idealistic,baku,BAKU,FALSE,FALSE,,,,,,,,
26,BANDI,BANDI,BANDI,BANDI,Peaceful,Intolerant,Ruthless,Greedy,bandi,BANDI,FALSE,FALSE,,,,,,,,
27,BANEANS,BANEANS,BANEANS,BANEA,Peaceful,Intolerant,Ethical,Egalitarian,baneans,BANEANS,FALSE,FALSE,,,,,,,,
28,BARZANS,BARZANS,BARZANS,BARZA,Peaceful,Sympathetic,Regulated,Greedy,barzans,BARZANS,TRUE,FALSE,,,,,,,,
29,BENZITES,BENZITES,BENZITES,BENZAR,Neutral,Sympathetic,Ethical,Materialistic,benzites,BENZITES,TRUE,FALSE,,,,,,,,
30,BETAZOIDS,BETAZOIDS,BETAZOIDS,BETAZED,Neutral,Compassion,Honorable,Egalitarian,betazoids,BETAZOIDS,TRUE,FALSE,,,,,,,,
31,BILANAIANS,BILANAIANS,BILANAIANS,BILANA,Peaceful,Sympathetic,Ethical,Egalitarian,bilanaians,BILANAIANS,TRUE,FALSE,,,,,,,,
32,BOLIANS,BOLIANS,BOLIANS,BOLIA,Peaceful,Compassion,Ethical,Egalitarian,bolians,BOLIANS,TRUE,FALSE,,,,,,,,
33,BOMAR,BOMAR,BOMAR,BOMAR,Aggressive,Xenophobia,Callous,Transactional,bomar,BOMAR,TRUE,FALSE,,,,,,,,
34,BOSLICS,BOSLICS,BOSLICS,BOSLIC,Aggressive,Intolerant,Ruthless,Greedy,boslics,BOSLICS,TRUE,FALSE,,,,,,,,
35,BOTHA,BOTHA,BOTHA,BOTHA,Warlike,Xenophobia,Callous,Materialistic,botha,BOTHA,TRUE,FALSE,,,,,,,,
36,BREELLIANS,BREELLIANS,BREELLIANS,BREEL,Peaceful,Sympathetic,Ethical,Idealistic,breellians,BREELLIANS,FALSE,FALSE,,,,,,,,
37,BREEN,BREEN,BREEN,BREEN,Warlike,Intolerant,Ruthless,Materialistic,breen,BREEN,TRUE,FALSE,,,,,,,,
38,BREKKIANS,BREKKIANS,BREKKIANS,BREKKA,Aggressive,Intolerant,Ruthless,Greedy,brekkians,BREKKIANS,TRUE,FALSE,,,,,,,,
39,BYNARS,BYNARS,BYNARS,BYNAR,Peaceful,Indifferent,Callous,Transactional,bynars,BYNARS,TRUE,FALSE,,,,,,,,
40,CAIRN,CAIRN,CAIRN,CAIRN,Peaceful,Sympathetic,Ethical,Egalitarian,cairn,CAIRN,TRUE,FALSE,,,,,,,,
41,CALDONIANS,CALDONIANS,CALDONIANS,CALDON,Pacifist,Compassion,Honorable,Idealistic,caldonians,CALDONIANS,TRUE,FALSE,,,,,,,,
42,CAPELLANS,CAPELLANS,CAPELLANS,CAPELLA,Warlike,Intolerant,Honorable,Materialistic,capellans,CAPELLANS,FALSE,FALSE,,,,,,,,
43,CHALNOTH,CHALNOTH,CHALNOTH,CHALNOTH,Warlike,Intolerant,Callous,Materialistic,chalnoth,CHALNOTH,FALSE,FALSE,,,,,,,,
44,CORIDAN,CORIDAN,CORIDAN,CORIDAN,Neutral,Indifferent,Regulated,Transactional,coridan,CORIDAN,TRUE,FALSE,,,,,,,,
45,CORVALLENS,CORVALLENS,CORVALLENS,CORVALLE,Neutral,Indifferent,Callous,Greedy,corvallens,CORVALLENS,TRUE,FALSE,,,,,,,,
46,CYTHERIANS,CYTHERIANS,CYTHERIANS,CYTHERIA,Peaceful,Compassion,Ethical,Idealistic,cytherians,CYTHERIANS,FALSE,FALSE,,,,,,,,
